matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-be75eec,50,Becker (non-opt),0,203148,0.019999265670776367,Success,13.68150008285638,235347
N-be75eec,50,Becker (non-opt),1,203148,0.018001556396484375,Success,13.68150008285638,235347
N-be75eec,50,Becker (opt),0,205469,0.0,Success,12.695296732059468,235347
N-be75eec,50,Becker (opt),1,205469,0.0009999275207519531,Success,12.695296732059468,235347
N-be75eec,50,Greedy (basic),0,59455,0.005998849868774414,Success,74.73730279119768,235347
N-be75eec,50,Greedy (basic),1,59455,0.005999088287353516,Success,74.73730279119768,235347
N-be75eec,50,Greedy (best_insertion),0,232743,0.13339972496032715,Success,1.106451325064692,235347
N-be75eec,50,Greedy (best_insertion),1,232743,0.1390845775604248,Success,1.106451325064692,235347
N-be75eec,50,Greedy (random),0,62001,0.005999326705932617,Success,73.65549592729033,235347
N-be75eec,50,Greedy (random),1,81459,0.006998777389526367,Success,65.38770411350049,235347
N-be75eec,50,GreatDeluge,0,235347,0.08702254295349121,Success,0.0,235347
N-be75eec,50,GreatDeluge,1,228857,0.08100247383117676,Success,2.757630222607469,235347
