matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-be75oi,50,Becker (non-opt),0,79316,0.018997907638549805,Success,28.415162454873645,110800
N-be75oi,50,Becker (non-opt),1,79316,0.018002033233642578,Success,28.415162454873645,110800
N-be75oi,50,Becker (opt),0,77479,0.0010004043579101562,Success,30.073104693140795,110800
N-be75oi,50,Becker (opt),1,77479,0.00099945068359375,Success,30.073104693140795,110800
N-be75oi,50,Greedy (basic),0,20696,0.0050008296966552734,Success,81.32129963898917,110800
N-be75oi,50,Greedy (basic),1,20696,0.007999181747436523,Success,81.32129963898917,110800
N-be75oi,50,Greedy (best_insertion),0,110216,0.1379988193511963,Success,0.5270758122743682,110800
N-be75oi,50,Greedy (best_insertion),1,110216,0.13503241539001465,Success,0.5270758122743682,110800
N-be75oi,50,Greedy (random),0,29917,0.006001949310302734,Success,72.99909747292419,110800
N-be75oi,50,Greedy (random),1,27020,0.006000041961669922,Success,75.61371841155234,110800
N-be75oi,50,GreatDeluge,0,110485,0.07200217247009277,Success,0.2842960288808664,110800
N-be75oi,50,GreatDeluge,1,110800,0.06699800491333008,Success,0.0,110800
