matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-be75tot,50,Becker (opt),0,803995,0.0010001659393310547,Success,16.411081214833175,961844
N-be75tot,50,Becker (opt),1,803995,0.0010020732879638672,Success,16.411081214833175,961844
N-be75tot,50,Greedy (basic),0,327650,0.006053924560546875,Success,65.93522442308732,961844
N-be75tot,50,Greedy (basic),1,327650,0.005006074905395508,Success,65.93522442308732,961844
N-be75tot,50,Greedy (best_insertion),0,961844,0.021999835968017578,Success,0.0,961844
N-be75tot,50,Greedy (best_insertion),1,961844,0.02199864387512207,Success,0.0,961844
N-be75tot,50,Greedy (look_ahead),0,607961,1.0241682529449463,Success,36.792140929298306,961844
N-be75tot,50,Greedy (look_ahead),1,607961,1.0273916721343994,Success,36.792140929298306,961844
N-be75tot,50,Greedy (random),0,498853,0.006000518798828125,Success,48.13576837824013,961844
N-be75tot,50,Greedy (random),1,498860,0.005999565124511719,Success,48.135040609495924,961844
