matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-stabu74,60,Becker (opt),0,448161,0.0010013580322265625,Success,15.284677327889304,529020
N-stabu74,60,Becker (opt),1,448161,0.0009999275207519531,Success,15.284677327889304,529020
N-stabu74,60,Greedy (basic),0,225495,0.008997917175292969,Success,57.37495746852671,529020
N-stabu74,60,Greedy (basic),1,225495,0.008555412292480469,Success,57.37495746852671,529020
N-stabu74,60,Greedy (best_insertion),0,529020,0.03600025177001953,Success,0.0,529020
N-stabu74,60,Greedy (best_insertion),1,529020,0.034999847412109375,Success,0.0,529020
N-stabu74,60,Greedy (look_ahead),0,370207,2.0522828102111816,Success,30.020226078409134,529020
N-stabu74,60,Greedy (look_ahead),1,370207,1.9706921577453613,Success,30.020226078409134,529020
N-stabu74,60,Greedy (random),0,273579,0.009999752044677734,Success,48.28569808324827,529020
N-stabu74,60,Greedy (random),1,206584,0.00899958610534668,Success,60.94968054137839,529020
