matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t65d11xx,44,Becker (non-opt),0,226955,0.012559890747070312,Success,4.501521125338203,237653
N-t65d11xx,44,Becker (non-opt),1,226955,0.012999773025512695,Success,4.501521125338203,237653
N-t65d11xx,44,Becker (opt),0,218711,0.0010023117065429688,Success,7.970444303248854,237653
N-t65d11xx,44,Becker (opt),1,218711,0.0009980201721191406,Success,7.970444303248854,237653
N-t65d11xx,44,Greedy (basic),0,93599,0.00599980354309082,Success,60.61526679654791,237653
N-t65d11xx,44,Greedy (basic),1,93599,0.0040018558502197266,Success,60.61526679654791,237653
N-t65d11xx,44,Greedy (best_insertion),0,237653,0.10699987411499023,Success,0.0,237653
N-t65d11xx,44,Greedy (best_insertion),1,237653,0.08603167533874512,Success,0.0,237653
N-t65d11xx,44,Greedy (random),0,113361,0.004998922348022461,Success,52.29978161437053,237653
N-t65d11xx,44,Greedy (random),1,124418,0.004000425338745117,Success,47.64719990911118,237653
N-t65d11xx,44,GreatDeluge,0,233961,0.04799962043762207,Success,1.5535255182976861,237653
N-t65d11xx,44,GreatDeluge,1,236597,0.05799984931945801,Success,0.4443453270103891,237653
