matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t65w11xx,44,Becker (non-opt),0,128616435,0.011998891830444336,Success,6.476453852987498,137523052
N-t65w11xx,44,Becker (non-opt),1,128616435,0.013999223709106445,Success,6.476453852987498,137523052
N-t65w11xx,44,Becker (opt),0,123636453,0.001001119613647461,Success,10.097651846760934,137523052
N-t65w11xx,44,Becker (opt),1,123636453,0.001001119613647461,Success,10.097651846760934,137523052
N-t65w11xx,44,Greedy (basic),0,62373344,0.0039975643157958984,Success,54.645171778183055,137523052
N-t65w11xx,44,Greedy (basic),1,62373344,0.004000186920166016,Success,54.645171778183055,137523052
N-t65w11xx,44,Greedy (best_insertion),0,137523052,0.07899975776672363,Success,0.0,137523052
N-t65w11xx,44,Greedy (best_insertion),1,137523052,0.08257484436035156,Success,0.0,137523052
N-t65w11xx,44,Greedy (random),0,63886281,0.004000186920166016,Success,53.54503839836248,137523052
N-t65w11xx,44,Greedy (random),1,66088737,0.004999876022338867,Success,51.943520712440275,137523052
N-t65w11xx,44,GreatDeluge,0,137235339,0.050000667572021484,Success,0.20921074381042679,137523052
N-t65w11xx,44,GreatDeluge,1,137336150,0.08199930191040039,Success,0.1359059425179133,137523052
