matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t69r11xx,44,Becker (non-opt),0,685326,0.011999845504760742,Success,10.112928399984261,762430
N-t69r11xx,44,Becker (non-opt),1,685326,0.01599884033203125,Success,10.112928399984261,762430
N-t69r11xx,44,Becker (opt),0,670139,0.001001596450805664,Success,12.104848969741484,762430
N-t69r11xx,44,Becker (opt),1,670139,0.0009982585906982422,Success,12.104848969741484,762430
N-t69r11xx,44,Greedy (basic),0,382479,0.004001617431640625,Success,49.83421428852485,762430
N-t69r11xx,44,Greedy (basic),1,382479,0.003000497817993164,Success,49.83421428852485,762430
N-t69r11xx,44,Greedy (best_insertion),0,759204,0.07599902153015137,Success,0.4231208110908542,762430
N-t69r11xx,44,Greedy (best_insertion),1,759204,0.07800078392028809,Success,0.4231208110908542,762430
N-t69r11xx,44,Greedy (random),0,346896,0.00500035285949707,Success,54.50126568996498,762430
N-t69r11xx,44,Greedy (random),1,378439,0.0049991607666015625,Success,50.36409899925239,762430
N-t69r11xx,44,GreatDeluge,0,762430,0.06002974510192871,Success,0.0,762430
N-t69r11xx,44,GreatDeluge,1,760421,0.061998844146728516,Success,0.2634995999632753,762430
