matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t70b11xx,44,Becker (opt),0,435506,0.0,Success,16.69261816860187,522770
N-t70b11xx,44,Becker (opt),1,435506,0.001008749008178711,Success,16.69261816860187,522770
N-t70b11xx,44,Greedy (basic),0,234126,0.003990650177001953,Success,55.21433900185551,522770
N-t70b11xx,44,Greedy (basic),1,234126,0.003999471664428711,Success,55.21433900185551,522770
N-t70b11xx,44,Greedy (best_insertion),0,522770,0.016000032424926758,Success,0.0,522770
N-t70b11xx,44,Greedy (best_insertion),1,522770,0.01600050926208496,Success,0.0,522770
N-t70b11xx,44,Greedy (look_ahead),0,328155,0.6651151180267334,Success,37.2276526962144,522770
N-t70b11xx,44,Greedy (look_ahead),1,328155,0.6905615329742432,Success,37.2276526962144,522770
N-t70b11xx,44,Greedy (random),0,206895,0.004000186920166016,Success,60.42332191977351,522770
N-t70b11xx,44,Greedy (random),1,226195,0.0039975643157958984,Success,56.73144977714865,522770
