matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t70d11xxb,44,Becker (opt),0,328519,0.0010006427764892578,Success,8.632035065469633,359556
N-t70d11xxb,44,Becker (opt),1,328519,0.0,Success,8.632035065469633,359556
N-t70d11xxb,44,Greedy (basic),0,169365,0.003999471664428711,Success,52.896071821913694,359556
N-t70d11xxb,44,Greedy (basic),1,169365,0.004000663757324219,Success,52.896071821913694,359556
N-t70d11xxb,44,Greedy (best_insertion),0,359556,0.021999359130859375,Success,0.0,359556
N-t70d11xxb,44,Greedy (best_insertion),1,359556,0.018000125885009766,Success,0.0,359556
N-t70d11xxb,44,Greedy (look_ahead),0,181404,0.7887516021728516,Success,49.54777558989421,359556
N-t70d11xxb,44,Greedy (look_ahead),1,181404,0.7379984855651855,Success,49.54777558989421,359556
N-t70d11xxb,44,Greedy (random),0,137667,0.0050013065338134766,Success,61.711944731835935,359556
N-t70d11xxb,44,Greedy (random),1,155415,0.00500035285949707,Success,56.77585689016453,359556
