matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t75i11xx,44,Becker (opt),0,58594956,0.0010001659393310547,Success,7.549772560751891,63380002
N-t75i11xx,44,Becker (opt),1,58594956,0.0,Success,7.549772560751891,63380002
N-t75i11xx,44,Greedy (basic),0,26437205,0.003998994827270508,Success,58.28778137305834,63380002
N-t75i11xx,44,Greedy (basic),1,26437205,0.004999876022338867,Success,58.28778137305834,63380002
N-t75i11xx,44,Greedy (best_insertion),0,63380002,0.018002033233642578,Success,0.0,63380002
N-t75i11xx,44,Greedy (best_insertion),1,63380002,0.023000717163085938,Success,0.0,63380002
N-t75i11xx,44,Greedy (look_ahead),0,39626043,0.7562799453735352,Success,37.47863403349214,63380002
N-t75i11xx,44,Greedy (look_ahead),1,39626043,0.7469785213470459,Success,37.47863403349214,63380002
N-t75i11xx,44,Greedy (random),0,25651740,0.003999948501586914,Success,59.52707606415033,63380002
N-t75i11xx,44,Greedy (random),1,22357348,0.004000186920166016,Success,64.72491749053589,63380002
