matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t75k11xx,44,Becker (opt),0,97931,0.0009999275207519531,Success,9.229015275100103,107888
N-t75k11xx,44,Becker (opt),1,97931,0.0010001659393310547,Success,9.229015275100103,107888
N-t75k11xx,44,Greedy (basic),0,40666,0.005000114440917969,Success,62.307207474417915,107888
N-t75k11xx,44,Greedy (basic),1,40666,0.003998517990112305,Success,62.307207474417915,107888
N-t75k11xx,44,Greedy (best_insertion),0,107888,0.018000125885009766,Success,0.0,107888
N-t75k11xx,44,Greedy (best_insertion),1,107888,0.021999120712280273,Success,0.0,107888
N-t75k11xx,44,Greedy (look_ahead),0,60463,0.7804708480834961,Success,43.95762271985763,107888
N-t75k11xx,44,Greedy (look_ahead),1,60463,0.742708683013916,Success,43.95762271985763,107888
N-t75k11xx,44,Greedy (random),0,34531,0.0050008296966552734,Success,67.9936600919472,107888
N-t75k11xx,44,Greedy (random),1,37879,0.003999471664428711,Success,64.89044193978941,107888
