matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t75n11xx,44,Becker (non-opt),0,89382,0.012998580932617188,Success,2.610647431846412,91778
N-t75n11xx,44,Becker (non-opt),1,89382,0.011999130249023438,Success,2.610647431846412,91778
N-t75n11xx,44,Becker (opt),0,83088,0.0009999275207519531,Success,9.468500076271,91778
N-t75n11xx,44,Becker (opt),1,83088,0.0010023117065429688,Success,9.468500076271,91778
N-t75n11xx,44,Greedy (basic),0,41020,0.0039975643157958984,Success,55.30519296563446,91778
N-t75n11xx,44,Greedy (basic),1,41020,0.003999948501586914,Success,55.30519296563446,91778
N-t75n11xx,44,Greedy (best_insertion),0,91778,0.08500194549560547,Success,0.0,91778
N-t75n11xx,44,Greedy (best_insertion),1,91778,0.07599806785583496,Success,0.0,91778
N-t75n11xx,44,Greedy (random),0,38029,0.003999948501586914,Success,58.56414391248448,91778
N-t75n11xx,44,Greedy (random),1,42679,0.003999948501586914,Success,53.497570223800906,91778
N-t75n11xx,44,GreatDeluge,0,89978,0.0469975471496582,Success,1.9612543311033146,91778
N-t75n11xx,44,GreatDeluge,1,87637,0.060408830642700195,Success,4.511974547277125,91778
