matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t75u11xx,44,Becker (opt),0,46603991,0.0,Success,11.00305613394902,52365833
N-t75u11xx,44,Becker (opt),1,46603991,0.0010013580322265625,Success,11.00305613394902,52365833
N-t75u11xx,44,Greedy (basic),0,19324969,0.004998922348022461,Success,63.09622535747689,52365833
N-t75u11xx,44,Greedy (basic),1,19324969,0.00400090217590332,Success,63.09622535747689,52365833
N-t75u11xx,44,Greedy (best_insertion),0,52365833,0.020000457763671875,Success,0.0,52365833
N-t75u11xx,44,Greedy (best_insertion),1,52365833,0.023001909255981445,Success,0.0,52365833
N-t75u11xx,44,Greedy (look_ahead),0,31067871,0.7415421009063721,Success,40.67148516476383,52365833
N-t75u11xx,44,Greedy (look_ahead),1,31067871,0.8101069927215576,Success,40.67148516476383,52365833
N-t75u11xx,44,Greedy (random),0,20280666,0.005001544952392578,Success,61.27118611862815,52365833
N-t75u11xx,44,Greedy (random),1,22781609,0.003997802734375,Success,56.49528004261863,52365833
