matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-tiw56r66,56,Becker (opt),0,182473,0.0009982585906982422,Success,12.266691027280682,207986
N-tiw56r66,56,Becker (opt),1,182473,0.0010001659393310547,Success,12.266691027280682,207986
N-tiw56r66,56,Greedy (basic),0,63056,0.007997751235961914,Success,69.6825747886877,207986
N-tiw56r66,56,Greedy (basic),1,63056,0.00800323486328125,Success,69.6825747886877,207986
N-tiw56r66,56,Greedy (best_insertion),0,207986,0.03799843788146973,Success,0.0,207986
N-tiw56r66,56,Greedy (best_insertion),1,207986,0.042999267578125,Success,0.0,207986
N-tiw56r66,56,Greedy (look_ahead),0,152531,1.6692664623260498,Success,26.66285230736684,207986
N-tiw56r66,56,Greedy (look_ahead),1,152531,1.6599462032318115,Success,26.66285230736684,207986
N-tiw56r66,56,Greedy (random),0,82411,0.008999109268188477,Success,60.376659967497815,207986
N-tiw56r66,56,Greedy (random),1,128532,0.008999109268188477,Success,38.20160972373141,207986
