matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-usa79,79,Becker (opt),0,1568991.0,0.0019996166229248047,Success,12.112865876406117,1785234
N-usa79,79,Becker (opt),1,1568991.0,0.0010004043579101562,Success,12.112865876406117,1785234
N-usa79,79,Greedy (basic),0,924836.0,0.019999980926513672,Success,48.195250594599926,1785234
N-usa79,79,Greedy (basic),1,924836.0,0.02599930763244629,Success,48.195250594599926,1785234
N-usa79,79,Greedy (best_insertion),0,1785234.0,0.07532763481140137,Success,0.0,1785234
N-usa79,79,Greedy (best_insertion),1,1785234.0,0.08470273017883301,Success,0.0,1785234
N-usa79,79,Greedy (look_ahead),0,,1.5,Timeout,,1785234
N-usa79,79,Greedy (look_ahead),1,,1.5,Timeout,,1785234
N-usa79,79,Greedy (random),0,879611.0,0.02099752426147461,Success,50.728531945952184,1785234
N-usa79,79,Greedy (random),1,840867.0,0.02099919319152832,Success,52.89877965577622,1785234
