matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-r150b1,150,Becker (non-opt),0,336211.0,0.48654866218566895,Success,1.3022278194142323,340647
N-r150b1,150,Becker (non-opt),1,336211.0,0.46802401542663574,Success,1.3022278194142323,340647
N-r150b1,150,Becker (opt),0,334200.0,0.0010001659393310547,Success,1.8925750116689712,340647
N-r150b1,150,Becker (opt),1,334200.0,0.0020017623901367188,Success,1.8925750116689712,340647
N-r150b1,150,Greedy (basic),0,72794.0,0.12099838256835938,Success,78.6306645882688,340647
N-r150b1,150,Greedy (basic),1,72794.0,0.12799978256225586,Success,78.6306645882688,340647
N-r150b1,150,Greedy (best_insertion),0,,3.0,Timeout,,340647
N-r150b1,150,Greedy (best_insertion),1,,3.0,Timeout,,340647
N-r150b1,150,Greedy (random),0,80799.0,0.12399983406066895,Success,76.2807246210887,340647
N-r150b1,150,Greedy (random),1,76698.0,0.14053940773010254,Success,77.48461016829738,340647
N-r150b1,150,GreatDeluge,0,339876.0,0.8529772758483887,Success,0.2263340055834926,340647
N-r150b1,150,GreatDeluge,1,340647.0,0.8215377330780029,Success,0.0,340647
