matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-r250d0,250,Becker (non-opt),0,991444.0,2.969651699066162,Success,1.4783553160472651,1006321
N-r250d0,250,Becker (non-opt),1,991444.0,2.934016227722168,Success,1.4783553160472651,1006321
N-r250d0,250,Becker (opt),0,992044.0,0.003999948501586914,Success,1.4187321938029713,1006321
N-r250d0,250,Becker (opt),1,992044.0,0.0039997100830078125,Success,1.4187321938029713,1006321
N-r250d0,250,Greedy (basic),0,135754.0,0.7549917697906494,Success,86.50987110474689,1006321
N-r250d0,250,Greedy (basic),1,135754.0,0.8575913906097412,Success,86.50987110474689,1006321
N-r250d0,250,Greedy (best_insertion),0,1006321.0,2.639895439147949,Success,0.0,1006321
N-r250d0,250,Greedy (best_insertion),1,1006321.0,2.5387630462646484,Success,0.0,1006321
N-r250d0,250,Greedy (random),0,149781.0,0.7792983055114746,Success,85.11598187854571,1006321
N-r250d0,250,Greedy (random),1,147985.0,0.897620439529419,Success,85.29445375779696,1006321
N-r250d0,250,GreatDeluge,0,891098.0,0.23154950141906738,Success,11.449925023923777,1006321
N-r250d0,250,GreatDeluge,1,876432.0,0.22699999809265137,Success,12.907312875315133,1006321
N-r250d0,250,LocalSearch best,0,857093.5626896231,0.2266089916229248,Success,14.829009561598824,1006321
N-r250d0,250,LocalSearch best,1,860652.3732114848,0.21792244911193848,Success,14.475363903616763,1006321
N-r250d0,250,LocalSearch best rest,0,851027.7488014717,0.195786452293396,Success,15.431780833206139,1006321
N-r250d0,250,LocalSearch best rest,1,858760.4549304951,0.197159743309021,Success,14.663367361856194,1006321
N-r250d0,250,LocalSearch random,0,782494.3836376617,0.2205667495727539,Success,22.242069514830586,1006321
N-r250d0,250,LocalSearch random,1,816832.0505220423,0.21900010108947754,Success,18.82987133111181,1006321
N-r250d0,250,LocalSearch first,0,807112.1243435865,0.22099995613098145,Success,19.79575857568445,1006321
N-r250d0,250,LocalSearch first,1,771647.5836998298,0.21700000762939453,Success,23.319936312585174,1006321
