solver,num_matrices,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),30,1.0,0.0,0.0,0.0,1.1490399599075318,2.5571865320205687,1012977.0
Becker (non-opt),30,1.0,0.0,2.246757472103802,0.6889728223558224,1.2533307393391928,2.911789321899414,993106.0
Becker (opt),30,1.0,0.0,2.3678487214367325,0.7139578063524089,0.00267254908879598,0.003999972343444824,993645.0
GreatDeluge,30,1.0,0.0,8.561932089982454,2.8853289048864825,0.17985479831695556,0.22745494842529299,917963.0
LocalSearch best rest,30,1.0,0.0,10.702916992085749,2.8549239439147547,0.14150269389152526,0.19629892587661743,883717.1811106629
LocalSearch best,30,1.0,0.0,10.714548782459548,2.7982899530290366,0.15755485693613688,0.2176143169403076,887593.4265351562
LocalSearch first,30,1.0,0.0,17.536069234473917,3.643248863432744,0.1574390927950541,0.2179999828338623,832134.0673981066
LocalSearch random,30,1.0,0.0,17.91092005791717,2.922610598511092,0.15884186426798502,0.21861021518707274,828164.1735246982
Greedy (random),30,1.0,0.0,80.11879398909421,5.035589667306742,0.35558127959569297,0.8105401754379272,157381.0
Greedy (basic),30,1.0,0.0,80.95448861150025,4.693040808451487,0.3578275203704834,0.8130014181137085,145798.0
