solver,num_matrices,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),3,1.0,0.0,0.014222415409656014,0.0941343850798091,0.7306206734975179,1.4039880752563476,401966.0
GreatDeluge,3,1.0,0.0,2.073527028893842,0.8670252077774931,0.1531779988606771,0.2030996561050415,392279.0
Becker (non-opt),3,1.0,0.0,3.6638229613013844,0.7270936230809713,0.7677149645487468,1.5493395328521729,388395.0
LocalSearch best rest,3,1.0,0.0,4.210979932731781,1.016672996519206,0.12227250194549562,0.16919996738433837,385042.01566771284
LocalSearch best,3,1.0,0.0,4.220561948937344,1.0391331637845789,0.13589993953704835,0.1875133752822876,384608.5727336421
Becker (opt),3,1.0,0.0,8.329684659254355,1.033262646876813,0.002285507520039876,0.003002429008483887,371648.0
LocalSearch random,3,1.0,0.0,11.685937308428562,2.1759315507813546,0.13662007490793865,0.18799996376037598,364646.2884371746
LocalSearch first,3,1.0,0.0,12.019033305376825,2.2059652865911055,0.1356031306584676,0.18751349449157714,363260.75643318344
Greedy (basic),3,1.0,0.0,17.56205532862406,2.0176807020167327,0.22525753815968833,0.4449970960617065,339352.0
Greedy (random),3,1.0,0.0,17.731560604942565,2.0307732844430864,0.22151009718577067,0.44076151847839357,340289.0
