matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t2d200,200,Becker (non-opt),0,147208.0,1.318664312362671,Success,0.5149692505237548,147970
N-t2d200,200,Becker (non-opt),1,147208.0,1.3386340141296387,Success,0.5149692505237548,147970
N-t2d200,200,Becker (opt),0,146622.0,0.003999471664428711,Success,0.9109954720551464,147970
N-t2d200,200,Becker (opt),1,146622.0,0.003001689910888672,Success,0.9109954720551464,147970
N-t2d200,200,Greedy (basic),0,16132.0,0.41355204582214355,Success,89.09779009258634,147970
N-t2d200,200,Greedy (basic),1,16132.0,0.41437435150146484,Success,89.09779009258634,147970
N-t2d200,200,Greedy (best_insertion),0,147970.0,1.2150797843933105,Success,0.0,147970
N-t2d200,200,Greedy (best_insertion),1,147970.0,1.1534619331359863,Success,0.0,147970
N-t2d200,200,Greedy (random),0,16666.0,0.28999805450439453,Success,88.73690612962088,147970
N-t2d200,200,Greedy (random),1,15348.0,0.31458044052124023,Success,89.62762722173414,147970
N-t2d200,200,GreatDeluge,0,137974.0,0.14800167083740234,Success,6.755423396634452,147970
N-t2d200,200,GreatDeluge,1,135554.0,0.18200182914733887,Success,8.390890045279448,147970
N-t2d200,200,LocalSearch best,0,133334.61057440384,0.18400192260742188,Success,9.890781527063705,147970
N-t2d200,200,LocalSearch best,1,131930.87090107266,0.18499541282653809,Success,10.839446576283935,147970
N-t2d200,200,LocalSearch best rest,0,133520.43562496666,0.16740117073059083,Success,9.76519860446938,147970
N-t2d200,200,LocalSearch best rest,1,131717.91146037725,0.16584591865539552,Success,10.983367263379572,147970
N-t2d200,200,LocalSearch random,0,126148.15267095616,0.1857614517211914,Success,14.747480792757884,147970
N-t2d200,200,LocalSearch random,1,126592.90016880122,0.18700098991394043,Success,14.446914801107507,147970
N-t2d200,200,LocalSearch first,0,121202.78253193971,0.19100165367126465,Success,18.089624564479482,147970
N-t2d200,200,LocalSearch first,1,116203.38266364152,0.18455243110656738,Success,21.46828231152158,147970
