matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-p50-20,50,Becker (non-opt),0,42875.0,0.027000904083251953,Success,5.19414470192818,45224
N-p50-20,50,Becker (non-opt),1,42875.0,0.025998353958129883,Success,5.19414470192818,45224
N-p50-20,50,Becker (opt),0,40610.0,0.0010001659393310547,Success,10.202547320007076,45224
N-p50-20,50,Becker (opt),1,40610.0,0.0009999275207519531,Success,10.202547320007076,45224
N-p50-20,50,Greedy (basic),0,30514.0,0.009000062942504883,Success,32.52697682646383,45224
N-p50-20,50,Greedy (basic),1,30514.0,0.007999897003173828,Success,32.52697682646383,45224
N-p50-20,50,Greedy (best_insertion),0,44952.0,0.03716707229614258,Success,0.6014505572262516,45224
N-p50-20,50,Greedy (best_insertion),1,44952.0,0.034999847412109375,Success,0.6014505572262516,45224
N-p50-20,50,Greedy (random),0,30689.0,0.007001161575317383,Success,32.14001415177782,45224
N-p50-20,50,Greedy (random),1,30777.0,0.008999824523925781,Success,31.945427206792854,45224
N-p50-20,50,GreatDeluge,0,45128.0,0.060999155044555664,Success,0.21227666725632408,45224
N-p50-20,50,GreatDeluge,1,45224.0,0.0690009593963623,Success,0.0,45224
N-p50-20,50,LocalSearch best,0,44208.68209509089,0.05999898910522461,Success,2.2450864693727053,45224
N-p50-20,50,LocalSearch best,1,44119.94836258315,0.06200003623962402,Success,2.44129585489309,45224
N-p50-20,50,LocalSearch best rest,0,44452.123609240305,0.0554110050201416,Success,1.7067848725448764,45224
N-p50-20,50,LocalSearch best rest,1,44488.18282321319,0.05669975280761719,Success,1.6270501874818937,45224
N-p50-20,50,LocalSearch random,0,42092.073872694375,0.06299996376037598,Success,6.925362920806707,45224
N-p50-20,50,LocalSearch random,1,40852.20076529867,0.062000274658203125,Success,9.66698928600152,45224
N-p50-20,50,LocalSearch first,0,39566.959172700335,0.06299996376037598,Success,12.5089351390847,45224
N-p50-20,50,LocalSearch first,1,40943.19196274698,0.06300020217895508,Success,9.465788159501628,45224
