solver,num_matrices,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),90,1.0,0.0,0.7202513287669818,1.0323241725918542,0.02508458693822225,0.03399991989135742,56094.0
GreatDeluge,90,1.0,0.0,1.1831196183674686,1.1490846870808202,0.06640141937467788,0.07405734062194824,55955.0
LocalSearch best rest,90,1.0,0.0,3.468890804446892,1.3114519154305062,0.08321091771125794,0.18189065694808962,55017.20120158106
LocalSearch best,90,1.0,0.0,3.602114395704152,1.2246379960296312,0.09746806356641981,0.23180520534515378,55040.84940634375
Becker (non-opt),90,1.0,0.0,5.191250229535936,1.2416903950752105,0.020442177189721,0.02700018882751465,54320.0
Becker (opt),90,1.0,0.0,10.30284299517175,2.177435065239691,0.0009365611606174045,0.0010018348693847656,53090.0
LocalSearch random,90,1.0,0.0,11.042258930268227,2.450907961825438,0.15995233058929442,0.5138556241989135,50417.24678714851
LocalSearch first,90,1.0,0.0,11.230331281265839,2.452410204724846,0.0615705927213033,0.06400012969970703,52731.16999202709
Greedy (basic),90,1.0,0.0,34.0337995162714,8.622681446396433,0.005998853842417399,0.008000397682189941,34023.0
Greedy (random),90,1.0,0.0,34.124935412963616,8.293130766025188,0.006475381056467692,0.008001041412353516,34010.0
