matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-sgb75,75,Becker (non-opt),0,2650502.0,0.10099935531616211,Success,2.054290077983277,2706093
N-sgb75,75,Becker (non-opt),1,2650502.0,0.09399819374084473,Success,2.054290077983277,2706093
N-sgb75,75,Becker (opt),0,1890875.0,0.0020024776458740234,Success,30.125276551840606,2706093
N-sgb75,75,Becker (opt),1,1890875.0,0.002001047134399414,Success,30.125276551840606,2706093
N-sgb75,75,Greedy (basic),0,2240015.0,0.02457141876220703,Success,17.223280944150847,2706093
N-sgb75,75,Greedy (basic),1,2240015.0,0.02799820899963379,Success,17.223280944150847,2706093
N-sgb75,75,Greedy (best_insertion),0,2698084.0,0.09399843215942383,Success,0.29596174263042696,2706093
N-sgb75,75,Greedy (best_insertion),1,2698084.0,0.09300041198730469,Success,0.29596174263042696,2706093
N-sgb75,75,Greedy (random),0,2208959.0,0.025999784469604492,Success,18.370913342593916,2706093
N-sgb75,75,Greedy (random),1,2250388.0,0.023000240325927734,Success,16.83996078479195,2706093
N-sgb75,75,GreatDeluge,0,2683951.0,0.10799837112426758,Success,0.8182276071073684,2706093
N-sgb75,75,GreatDeluge,1,2706093.0,0.10899901390075684,Success,0.0,2706093
N-sgb75,75,LocalSearch best,0,2660613.191211964,0.07900047302246094,Success,1.6806447076296342,2706093
N-sgb75,75,LocalSearch best,1,2631745.7746603903,0.07799744606018066,Success,2.7474009703143856,2706093
N-sgb75,75,LocalSearch best rest,0,2638273.456097852,0.06930012702941894,Success,2.5061793479436227,2706093
N-sgb75,75,LocalSearch best rest,1,2632803.840372158,0.06930077075958252,Success,2.7083015856381056,2706093
N-sgb75,75,LocalSearch random,0,2492018.091663516,0.07899904251098633,Success,7.910848161407752,2706093
N-sgb75,75,LocalSearch random,1,2349760.7709972057,0.09100055694580078,Success,13.16777468486095,2706093
N-sgb75,75,LocalSearch first,0,2488326.5801177747,0.09255838394165039,Success,8.047262968502018,2706093
N-sgb75,75,LocalSearch first,1,2439242.3955590297,0.06356287002563477,Success,9.861102498730471,2706093
