solver,num_matrices,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),1,1.0,0.0,0.20133134281454115,0.24863367777232323,0.09774310111999512,0.10999996662139892,2717663.0
GreatDeluge,1,1.0,0.0,0.6849849852642909,0.7634694243727488,0.1030288028717041,0.11199841499328614,2725189.0
Becker (non-opt),1,1.0,0.0,2.6385285527961186,0.6449114404450608,0.0899841022491455,0.10099871158599853,2662244.0
LocalSearch best,1,1.0,0.0,3.002368942119459,0.9014472618484844,0.0786288022994995,0.09199783802032471,2672900.4907693774
LocalSearch best rest,1,1.0,0.0,3.0230731574050047,0.89469777866519,0.07161431980133057,0.08284596920013428,2667806.1821000767
LocalSearch first,1,1.0,0.0,10.499011364447618,2.128769765850409,0.08032357215881347,0.09205279350280762,2540250.359641553
LocalSearch random,1,1.0,0.0,10.840591366450921,2.277892720846075,0.07806439399719238,0.09199748039245606,2533219.861129935
Greedy (basic),1,1.0,0.0,16.93532012041905,0.5955575837369397,0.025352783203125,0.029101014137268066,2265843.0
Greedy (random),1,1.0,0.0,18.111646531944515,3.478826086755074,0.026363658905029296,0.030999040603637694,2423730.0
Becker (opt),1,1.0,0.0,29.882435518615054,0.4524764286759794,0.0014209985733032227,0.002001047134399414,1911085.0
