matrix,size,best_cost,solver_count,best_solver,best_solver_cost,deviation
N-be75eec,50,232743,5,Greedy (best_insertion),232743.0,0.0
N-be75eec_150,150,3373087,10,Greedy (best_insertion),3373087.0,0.0
N-be75eec_250,250,8507161,10,Greedy (best_insertion),8507161.0,0.0
N-be75np,50,704939,5,Greedy (best_insertion),704939.0,0.0
N-be75np_150,150,6865841,10,Greedy (best_insertion),6865841.0,0.0
N-be75np_250,250,17033567,10,Greedy (best_insertion),17033567.0,0.0
N-be75oi,50,110216,5,Greedy (best_insertion),110216.0,0.0
N-be75oi_150,150,2182298,10,Greedy (best_insertion),2182298.0,0.0
N-be75oi_250,250,5706321,10,Greedy (best_insertion),5706321.0,0.0
N-be75tot,50,961844,5,Greedy (best_insertion),961844.0,0.0
N-be75tot_150,150,11777512,10,Greedy (best_insertion),11777512.0,0.0
N-be75tot_250,250,29239530,10,Greedy (best_insertion),29239530.0,0.0
N-p40-01,40,29110,10,GreatDeluge,29110.0,0.0
N-p40-02,40,26844,10,GreatDeluge,26844.0,0.0
N-p40-03,40,27195,10,Greedy (best_insertion),27141.0,0.1985659128516271
N-p40-04,40,28439,10,GreatDeluge,28027.0,1.4487147930658604
N-p40-05,40,27005,10,Greedy (best_insertion),27005.0,0.0
N-p40-06,40,28755,10,Greedy (best_insertion),28449.0,1.0641627543035994
N-p40-07,40,27965,10,GreatDeluge,27965.0,0.0
N-p40-08,40,27656,10,GreatDeluge,27656.0,0.0
N-p40-09,40,29982,10,GreatDeluge,29645.0,1.124007737976119
N-p40-10,40,31091,10,Greedy (best_insertion),31091.0,0.0
N-p40-11,40,29950,10,Greedy (best_insertion),29950.0,0.0
N-p40-12,40,30172,10,GreatDeluge,30172.0,0.0
N-p40-13,40,33572,10,GreatDeluge,33354.0,0.6493506493506493
N-p40-14,40,33603,10,GreatDeluge,33282.0,0.9552718507276136
N-p40-15,40,33899,10,GreatDeluge,33857.0,0.12389746010206791
N-p40-16,40,35615,10,GreatDeluge,35479.0,0.3818615751789976
N-p40-17,40,37259,10,GreatDeluge,37227.0,0.08588528946026464
N-p40-18,40,37235,10,Greedy (best_insertion),37235.0,0.0
N-p40-19,40,38179,10,Greedy (best_insertion),38179.0,0.0
N-p40-20,40,39206,10,GreatDeluge,38889.0,0.8085497117788094
N-p44-01,44,35063,10,GreatDeluge,35063.0,0.0
N-p44-02,44,34727,10,GreatDeluge,34727.0,0.0
N-p44-03,44,33289,10,GreatDeluge,33289.0,0.0
N-p44-04,44,32385,10,GreatDeluge,32385.0,0.0
