solver,num_datasets,success_rate,timeout_rate,avg_deviation,std_deviation,avg_time,percentile_90_time,best_cost
Greedy (best_insertion),255,1.0,0.0,0.25536698561434823,0.7023020708772151,0.5883621683307723,1.9267781257629424,282169584.0
GreatDeluge,205,1.0,0.0,3.493186233633352,2.9723699676679227,0.12588092466680012,0.21751275062561032,96736886.0
Becker (non-opt),205,0.9780487804878049,0.02195121951219512,4.040927523523072,1.5567088742463666,0.7485935554271791,2.077352952957164,99236913.0
LocalSearch best rest,205,1.0,0.0,5.744497977348406,2.961889505338795,0.12059812441104792,0.1975869011878967,93855874.66291869
LocalSearch best,205,1.0,0.0,5.780318760517384,2.9044838229397723,0.136562634095913,0.22136960029602049,93571780.17554057
Becker (opt),255,1.0,0.0,10.257212178451427,4.6465309822797725,0.0016973546907013105,0.00300171375274651,254412126.0
LocalSearch random,205,1.0,0.0,13.150313576199123,3.3722464376206482,0.16400633672388584,0.22210769653320311,89625725.87668042
LocalSearch first,205,1.0,0.0,13.21611072528666,3.3531134817564947,0.12035789896802201,0.2180073261260986,87579809.75138004
Greedy (look_ahead),50,0.98,0.02,37.530828166003126,6.750290497493425,1.0394052791595458,1.6612754106521606,154938312.0
Greedy (random),255,1.0,0.0,44.32691923135099,18.62610799535974,0.18110306917452343,0.5713238239288332,117363948.0
Greedy (basic),255,1.0,0.0,45.03101396312591,19.252902327692183,0.18163081571167589,0.5956996440887469,119280218.0
