matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-be75eec_150,150,Becker (non-opt),0,3270930.0,0.47817063331604004,Success,1.8113212078276455,3331270
N-be75eec_150,150,Becker (non-opt),1,3270930.0,0.5256929397583008,Success,1.8113212078276455,3331270
N-be75eec_150,150,Becker (non-opt),2,3270930.0,0.5306463241577148,Success,1.8113212078276455,3331270
N-be75eec_150,150,Becker (non-opt),3,3270930.0,0.5260720252990723,Success,1.8113212078276455,3331270
N-be75eec_150,150,Becker (non-opt),4,3270930.0,0.5236411094665527,Success,1.8113212078276455,3331270
N-be75eec_150,150,Becker (opt),0,2878633.0,0.0020017623901367188,Success,13.587520675298009,3331270
N-be75eec_150,150,Becker (opt),1,2878633.0,0.0030002593994140625,Success,13.587520675298009,3331270
N-be75eec_150,150,Becker (opt),2,2878633.0,0.0019998550415039062,Success,13.587520675298009,3331270
N-be75eec_150,150,Becker (opt),3,2878633.0,0.0029985904693603516,Success,13.587520675298009,3331270
N-be75eec_150,150,Becker (opt),4,2878633.0,0.003003835678100586,Success,13.587520675298009,3331270
N-be75eec_150,150,Greedy (basic),0,1942287.0,0.14499759674072266,Success,41.69529939032261,3331270
N-be75eec_150,150,Greedy (basic),1,1942287.0,0.14700007438659668,Success,41.69529939032261,3331270
N-be75eec_150,150,Greedy (basic),2,1942287.0,0.15099811553955078,Success,41.69529939032261,3331270
N-be75eec_150,150,Greedy (basic),3,1942287.0,0.14000177383422852,Success,41.69529939032261,3331270
N-be75eec_150,150,Greedy (basic),4,1942287.0,0.1700000762939453,Success,41.69529939032261,3331270
N-be75eec_150,150,Greedy (best_insertion),0,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (best_insertion),1,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (best_insertion),2,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (best_insertion),3,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (best_insertion),4,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (look_ahead),0,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (look_ahead),1,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (look_ahead),2,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (look_ahead),3,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (look_ahead),4,,3.0,Timeout,,3331270
N-be75eec_150,150,Greedy (random),0,1935697.0,0.21300029754638672,Success,41.89312184242046,3331270
N-be75eec_150,150,Greedy (random),1,2019431.0,0.18002724647521973,Success,39.379545938936204,3331270
N-be75eec_150,150,Greedy (random),2,1997351.0,0.20554304122924805,Success,40.04235621849925,3331270
N-be75eec_150,150,Greedy (random),3,1878467.0,0.23035669326782227,Success,43.611085261777035,3331270
N-be75eec_150,150,Greedy (random),4,1989331.0,0.19314002990722656,Success,40.28310524214489,3331270
N-be75eec_150,150,GreatDeluge,0,3322319.0,0.9690392017364502,Success,0.2686963230239518,3331270
N-be75eec_150,150,GreatDeluge,1,3280239.0,0.9778375625610352,Success,1.5318782326259954,3331270
N-be75eec_150,150,GreatDeluge,2,3331270.0,0.9838180541992188,Success,0.0,3331270
N-be75eec_150,150,GreatDeluge,3,3294057.0,0.8861134052276611,Success,1.1170814734320544,3331270
N-be75eec_150,150,GreatDeluge,4,3321335.0,1.0841906070709229,Success,0.29823460722187034,3331270
