matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-be75np_250,250,Becker (non-opt),0,16593841.0,3.0065321922302246,Success,2.581526229943499,17033567
N-be75np_250,250,Becker (non-opt),1,,1.5,Timeout,,17033567
N-be75np_250,250,Becker (opt),0,15072797.0,0.004999876022338867,Success,11.511211949910432,17033567
N-be75np_250,250,Becker (opt),1,15072797.0,0.0049991607666015625,Success,11.511211949910432,17033567
N-be75np_250,250,Greedy (basic),0,11677834.0,0.867999792098999,Success,31.442228160431696,17033567
N-be75np_250,250,Greedy (basic),1,11677834.0,0.7960019111633301,Success,31.442228160431696,17033567
N-be75np_250,250,Greedy (best_insertion),0,17033567.0,2.888665199279785,Success,0.0,17033567
N-be75np_250,250,Greedy (best_insertion),1,17033567.0,2.8837358951568604,Success,0.0,17033567
N-be75np_250,250,Greedy (random),0,11703718.0,0.9035360813140869,Success,31.290269383975772,17033567
N-be75np_250,250,Greedy (random),1,11667001.0,0.8236961364746094,Success,31.505826113813978,17033567
N-be75np_250,250,GreatDeluge,0,16439058.0,0.2570011615753174,Success,3.490220222223566,17033567
N-be75np_250,250,GreatDeluge,1,16159191.0,0.2740011215209961,Success,5.133252477299675,17033567
N-be75np_250,250,LocalSearch best,0,15786272.301970651,0.21657037734985352,Success,7.322569007591591,17033567
N-be75np_250,250,LocalSearch best,1,15912908.186846297,0.21700024604797363,Success,6.579119999667143,17033567
N-be75np_250,250,LocalSearch best rest,0,15694364.882897355,0.19620144367218018,Success,7.862135494595145,17033567
N-be75np_250,250,LocalSearch best rest,1,15817250.311608162,0.19385075569152832,Success,7.140704518271705,17033567
N-be75np_250,250,LocalSearch random,0,14354715.519584972,0.2184758186340332,Success,15.726896664773898,17033567
N-be75np_250,250,LocalSearch random,1,14192520.51108783,0.21900224685668945,Success,16.679104787107544,17033567
N-be75np_250,250,LocalSearch first,0,14010102.10930153,0.21799802780151367,Success,17.750039617060068,17033567
N-be75np_250,250,LocalSearch first,1,14365109.014954396,0.21600008010864258,Success,15.665878938014593,17033567
