matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-stabu2_150,150,Becker (non-opt),0,4016393.0,0.6125798225402832,Success,3.672371329697257,4169513
N-stabu2_150,150,Becker (non-opt),1,4016393.0,0.616274356842041,Success,3.672371329697257,4169513
N-stabu2_150,150,Becker (opt),0,3711124.0,0.002997875213623047,Success,10.993825897652796,4169513
N-stabu2_150,150,Becker (opt),1,3711124.0,0.002001047134399414,Success,10.993825897652796,4169513
N-stabu2_150,150,Greedy (basic),0,2631483.0,0.1812727451324463,Success,36.887521396383704,4169513
N-stabu2_150,150,Greedy (basic),1,2631483.0,0.18554234504699707,Success,36.887521396383704,4169513
N-stabu2_150,150,Greedy (best_insertion),0,4169513.0,0.6225781440734863,Success,0.0,4169513
N-stabu2_150,150,Greedy (best_insertion),1,4169513.0,0.6310231685638428,Success,0.0,4169513
N-stabu2_150,150,Greedy (random),0,2518782.0,0.18555259704589844,Success,39.59049893836523,4169513
N-stabu2_150,150,Greedy (random),1,2529626.0,0.18856382369995117,Success,39.33042060307763,4169513
N-stabu2_150,150,GreatDeluge,0,4089565.0,0.15599989891052246,Success,1.9174421569137692,4169513
N-stabu2_150,150,GreatDeluge,1,3993256.0,0.15720009803771973,Success,4.227280260308578,4169513
N-stabu2_150,150,LocalSearch best,0,3903931.684021661,0.12609338760375977,Success,6.369600382067136,4169513
N-stabu2_150,150,LocalSearch best,1,3884771.5152806393,0.1400001049041748,Success,6.829130517625456,4169513
N-stabu2_150,150,LocalSearch best rest,0,3891155.6590375663,0.11295962333679199,Success,6.67601566327851,4169513
N-stabu2_150,150,LocalSearch best rest,1,3925135.998389844,0.11159985065460205,Success,5.861044242101084,4169513
N-stabu2_150,150,LocalSearch random,0,3620832.3960078745,0.1395857334136963,Success,13.15934508399723,4169513
N-stabu2_150,150,LocalSearch random,1,3458226.9405223606,0.12600016593933105,Success,17.059211938603845,4169513
N-stabu2_150,150,LocalSearch first,0,3616588.803453348,0.1379995346069336,Success,13.261121779609558,4169513
N-stabu2_150,150,LocalSearch first,1,3587987.405927865,0.1250002384185791,Success,13.947086723848448,4169513
