matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t59f11xx_250,250,Becker (non-opt),0,3709290.0,2.802928924560547,Success,2.024570390595305,3785939
N-t59f11xx_250,250,Becker (non-opt),1,3709290.0,2.895418405532837,Success,2.024570390595305,3785939
N-t59f11xx_250,250,Becker (opt),0,3312135.0,0.003999948501586914,Success,12.514834496805152,3785939
N-t59f11xx_250,250,Becker (opt),1,3312135.0,0.004000425338745117,Success,12.514834496805152,3785939
N-t59f11xx_250,250,Greedy (basic),0,2810315.0,0.8535239696502686,Success,25.769670351265567,3785939
N-t59f11xx_250,250,Greedy (basic),1,2810315.0,0.8385186195373535,Success,25.769670351265567,3785939
N-t59f11xx_250,250,Greedy (best_insertion),0,3785939.0,2.6024153232574463,Success,0.0,3785939
N-t59f11xx_250,250,Greedy (best_insertion),1,3785939.0,2.5369248390197754,Success,0.0,3785939
N-t59f11xx_250,250,Greedy (random),0,2786828.0,0.8741319179534912,Success,26.3900448475266,3785939
N-t59f11xx_250,250,Greedy (random),1,2774705.0,0.8766262531280518,Success,26.71025602895345,3785939
N-t59f11xx_250,250,GreatDeluge,0,3636731.0,0.1939997673034668,Success,3.9411094579178374,3785939
N-t59f11xx_250,250,GreatDeluge,1,3628717.0,0.2295525074005127,Success,4.152787459068939,3785939
N-t59f11xx_250,250,LocalSearch best,0,3563792.960016036,0.2255687713623047,Success,5.867660307890963,3785939
N-t59f11xx_250,250,LocalSearch best,1,3547706.988887241,0.21599984169006348,Success,6.292547532138233,3785939
N-t59f11xx_250,250,LocalSearch best rest,0,3554696.5962905725,0.19758331775665283,Success,6.107927351957532,3785939
N-t59f11xx_250,250,LocalSearch best rest,1,3552308.6320310323,0.19800002574920655,Success,6.171001909142426,3785939
N-t59f11xx_250,250,LocalSearch random,0,3251122.3755081906,0.22157716751098633,Success,14.126393068979965,3785939
N-t59f11xx_250,250,LocalSearch random,1,3230353.498683911,0.21799993515014648,Success,14.674972346783433,3785939
N-t59f11xx_250,250,LocalSearch first,0,3239968.628516755,0.21967315673828125,Success,14.421002860406492,3785939
N-t59f11xx_250,250,LocalSearch first,1,3304046.7413803264,0.21700024604797363,Success,12.728473929972816,3785939
