matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t65d11xx_150,150,Becker (non-opt),0,3271996.0,0.621551513671875,Success,4.165327898790027,3414209
N-t65d11xx_150,150,Becker (non-opt),1,3271996.0,0.5253102779388428,Success,4.165327898790027,3414209
N-t65d11xx_150,150,Becker (opt),0,2998562.0,0.0031065940856933594,Success,12.174035040034163,3414209
N-t65d11xx_150,150,Becker (opt),1,2998562.0,0.0025908946990966797,Success,12.174035040034163,3414209
N-t65d11xx_150,150,Greedy (basic),0,2310712.0,0.16236472129821777,Success,32.32072201789639,3414209
N-t65d11xx_150,150,Greedy (basic),1,2310712.0,0.17999982833862305,Success,32.32072201789639,3414209
N-t65d11xx_150,150,Greedy (best_insertion),0,3414209.0,0.6291148662567139,Success,0.0,3414209
N-t65d11xx_150,150,Greedy (best_insertion),1,3414209.0,0.6610240936279297,Success,0.0,3414209
N-t65d11xx_150,150,Greedy (random),0,2328510.0,0.20599937438964844,Success,31.799429970455822,3414209
N-t65d11xx_150,150,Greedy (random),1,2310318.0,0.19655442237854004,Success,32.332262026138416,3414209
N-t65d11xx_150,150,GreatDeluge,0,3284790.0,0.1764676570892334,Success,3.7905998138954,3414209
N-t65d11xx_150,150,GreatDeluge,1,3341593.0,0.17754411697387695,Success,2.1268762398552634,3414209
N-t65d11xx_150,150,LocalSearch best,0,3252507.1159354057,0.1380000114440918,Success,4.736144860042085,3414209
N-t65d11xx_150,150,LocalSearch best,1,3282034.9486514577,0.1380000114440918,Success,3.8712935074725165,3414209
N-t65d11xx_150,150,LocalSearch best rest,0,3280202.7701939386,0.1130070447921753,Success,3.924956843768538,3414209
N-t65d11xx_150,150,LocalSearch best rest,1,3268196.5110443444,0.1121056079864502,Success,4.276612502505136,3414209
N-t65d11xx_150,150,LocalSearch random,0,3011049.544729729,0.12399816513061523,Success,11.808282834187093,3414209
N-t65d11xx_150,150,LocalSearch random,1,2974779.6318428414,0.1399996280670166,Success,12.870605406908558,3414209
N-t65d11xx_150,150,LocalSearch first,0,3024605.627403019,0.13953495025634766,Success,11.411233834747112,3414209
N-t65d11xx_150,150,LocalSearch first,1,3013613.706465849,0.12800025939941406,Success,11.733180175383254,3414209
