matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t70b11xx_150,150,Becker (non-opt),0,8874713.0,0.5830004215240479,Success,3.593792043292187,9205541
N-t70b11xx_150,150,Becker (non-opt),1,8874713.0,0.697643518447876,Success,3.593792043292187,9205541
N-t70b11xx_150,150,Becker (opt),0,8163313.0,0.003001689910888672,Success,11.321746326478802,9205541
N-t70b11xx_150,150,Becker (opt),1,8163313.0,0.002998828887939453,Success,11.321746326478802,9205541
N-t70b11xx_150,150,Greedy (basic),0,6006311.0,0.21300101280212402,Success,34.75330781754163,9205541
N-t70b11xx_150,150,Greedy (basic),1,6006311.0,0.18199849128723145,Success,34.75330781754163,9205541
N-t70b11xx_150,150,Greedy (best_insertion),0,9205541.0,0.5190000534057617,Success,0.0,9205541
N-t70b11xx_150,150,Greedy (best_insertion),1,9205541.0,0.5830013751983643,Success,0.0,9205541
N-t70b11xx_150,150,Greedy (random),0,6096224.0,0.17855429649353027,Success,33.7765808658068,9205541
N-t70b11xx_150,150,Greedy (random),1,5944925.0,0.16000103950500488,Success,35.420145323343846,9205541
N-t70b11xx_150,150,GreatDeluge,0,8977867.0,0.1665956974029541,Success,2.4732278092075197,9205541
N-t70b11xx_150,150,GreatDeluge,1,8951669.0,0.13810133934020996,Success,2.7578172754865795,9205541
N-t70b11xx_150,150,LocalSearch best,0,8686407.113085283,0.1340010166168213,Success,5.639363150027978,9205541
N-t70b11xx_150,150,LocalSearch best,1,8716192.791844262,0.12374377250671387,Success,5.315800648280619,9205541
N-t70b11xx_150,150,LocalSearch best rest,0,8706716.443239368,0.1106997013092041,Success,5.418742437414938,9205541
N-t70b11xx_150,150,LocalSearch best rest,1,8684559.924624035,0.125099515914917,Success,5.659429200043375,9205541
N-t70b11xx_150,150,LocalSearch random,0,8265374.826747309,0.12600064277648926,Success,10.213046395129744,9205541
N-t70b11xx_150,150,LocalSearch random,1,8368903.338039507,0.13855648040771484,Success,9.088413836411057,9205541
N-t70b11xx_150,150,LocalSearch first,0,8202602.45462472,0.12399911880493164,Success,10.894944092642465,9205541
N-t70b11xx_150,150,LocalSearch first,1,7791169.467376483,0.1280684471130371,Success,15.364349934713422,9205541
