matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t70d11xn_250,250,Becker (non-opt),0,14028641.0,2.5095903873443604,Success,4.009966687615915,14614685
N-t70d11xn_250,250,Becker (non-opt),1,14028641.0,2.7421040534973145,Success,4.009966687615915,14614685
N-t70d11xn_250,250,Becker (opt),0,12861959.0,0.0029997825622558594,Success,11.992909871133042,14614685
N-t70d11xn_250,250,Becker (opt),1,12861959.0,0.003000974655151367,Success,11.992909871133042,14614685
N-t70d11xn_250,250,Greedy (basic),0,10458047.0,0.7777843475341797,Success,28.441516187314335,14614685
N-t70d11xn_250,250,Greedy (basic),1,10458047.0,0.6650002002716064,Success,28.441516187314335,14614685
N-t70d11xn_250,250,Greedy (best_insertion),0,14614685.0,2.317758560180664,Success,0.0,14614685
N-t70d11xn_250,250,Greedy (best_insertion),1,14614685.0,2.3720383644104004,Success,0.0,14614685
N-t70d11xn_250,250,Greedy (random),0,10472274.0,0.9250543117523193,Success,28.34416889587425,14614685
N-t70d11xn_250,250,Greedy (random),1,10418832.0,0.8745887279510498,Success,28.709842189551125,14614685
N-t70d11xn_250,250,GreatDeluge,0,13837339.0,0.25002002716064453,Success,5.318937767047323,14614685
N-t70d11xn_250,250,GreatDeluge,1,13904975.0,0.21599888801574707,Success,4.856142982212754,14614685
N-t70d11xn_250,250,LocalSearch best,0,13684724.532967588,0.21700000762939453,Success,6.363192001965229,14614685
N-t70d11xn_250,250,LocalSearch best,1,13593909.210395303,0.21801328659057617,Success,6.984589743841194,14614685
N-t70d11xn_250,250,LocalSearch best rest,0,13530501.73943213,0.19562788009643556,Success,7.418451102900063,14614685
N-t70d11xn_250,250,LocalSearch best rest,1,13519106.73632244,0.1967009782791138,Success,7.496420645929487,14614685
N-t70d11xn_250,250,LocalSearch random,0,12707969.679268474,0.21600031852722168,Success,13.046571450096437,14614685
N-t70d11xn_250,250,LocalSearch random,1,12340003.425192082,0.2200019359588623,Success,15.56435581613916,14614685
N-t70d11xn_250,250,LocalSearch first,0,12237169.788942391,0.2195451259613037,Success,16.267988061717435,14614685
N-t70d11xn_250,250,LocalSearch first,1,12276732.567975769,0.21800565719604492,Success,15.997282404815644,14614685
