matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t70l11xx_150,150,Becker (non-opt),0,411554.0,0.43156909942626953,Success,1.6731293467795307,418557
N-t70l11xx_150,150,Becker (non-opt),1,411554.0,0.5085480213165283,Success,1.6731293467795307,418557
N-t70l11xx_150,150,Becker (opt),0,361292.0,0.001999378204345703,Success,13.681529636345827,418557
N-t70l11xx_150,150,Becker (opt),1,361292.0,0.002000093460083008,Success,13.681529636345827,418557
N-t70l11xx_150,150,Greedy (basic),0,235091.0,0.12299799919128418,Success,43.83297854294636,418557
N-t70l11xx_150,150,Greedy (basic),1,235091.0,0.1706104278564453,Success,43.83297854294636,418557
N-t70l11xx_150,150,Greedy (best_insertion),0,418557.0,0.4289989471435547,Success,0.0,418557
N-t70l11xx_150,150,Greedy (best_insertion),1,418557.0,0.47716689109802246,Success,0.0,418557
N-t70l11xx_150,150,Greedy (random),0,253766.0,0.12799787521362305,Success,39.371220646172446,418557
N-t70l11xx_150,150,Greedy (random),1,243977.0,0.12600207328796387,Success,41.70997020716414,418557
N-t70l11xx_150,150,GreatDeluge,0,396207.0,0.1119997501373291,Success,5.3397745109985015,418557
N-t70l11xx_150,150,GreatDeluge,1,395747.0,0.11399960517883301,Success,5.449675910330014,418557
N-t70l11xx_150,150,LocalSearch best,0,386744.9485998384,0.1282494068145752,Success,7.600410792356019,418557
N-t70l11xx_150,150,LocalSearch best,1,385235.3480019587,0.1263124942779541,Success,7.961078657874869,418557
N-t70l11xx_150,150,LocalSearch best rest,0,388720.1310960294,0.11530001163482666,Success,7.128507922211449,418557
N-t70l11xx_150,150,LocalSearch best rest,1,388831.4757832646,0.11536481380462647,Success,7.10190588539563,418557
N-t70l11xx_150,150,LocalSearch random,0,362835.4364261419,0.138627290725708,Success,13.312777847188823,418557
N-t70l11xx_150,150,LocalSearch random,1,359153.4863700948,0.12602710723876953,Success,14.192454941598202,418557
N-t70l11xx_150,150,LocalSearch first,0,359609.8596618916,0.12518548965454102,Success,14.083420021193865,418557
N-t70l11xx_150,150,LocalSearch first,1,360820.8453347337,0.12616348266601562,Success,13.79409606463786,418557
