matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t70n11xx_150,150,Becker (non-opt),0,892495.0,0.4380018711090088,Success,0.7534992232597293,899271
N-t70n11xx_150,150,Becker (non-opt),1,892495.0,0.4439990520477295,Success,0.7534992232597293,899271
N-t70n11xx_150,150,Becker (opt),0,794159.0,0.0019991397857666016,Success,11.688578859987702,899271
N-t70n11xx_150,150,Becker (opt),1,794159.0,0.002001523971557617,Success,11.688578859987702,899271
N-t70n11xx_150,150,Greedy (basic),0,525315.0,0.12100005149841309,Success,41.5843499901587,899271
N-t70n11xx_150,150,Greedy (basic),1,525315.0,0.12299966812133789,Success,41.5843499901587,899271
N-t70n11xx_150,150,Greedy (best_insertion),0,899271.0,0.45238780975341797,Success,0.0,899271
N-t70n11xx_150,150,Greedy (best_insertion),1,899271.0,0.44066429138183594,Success,0.0,899271
N-t70n11xx_150,150,Greedy (random),0,583047.0,0.13553214073181152,Success,35.16448323141745,899271
N-t70n11xx_150,150,Greedy (random),1,556388.0,0.12299871444702148,Success,38.12899559754512,899271
N-t70n11xx_150,150,GreatDeluge,0,871493.0,0.11499786376953125,Success,3.0889464911022375,899271
N-t70n11xx_150,150,GreatDeluge,1,865214.0,0.11600303649902344,Success,3.787178725879073,899271
N-t70n11xx_150,150,LocalSearch best,0,848011.5840118125,0.13213801383972168,Success,5.700107752633804,899271
N-t70n11xx_150,150,LocalSearch best,1,850834.4801369925,0.12565326690673828,Success,5.38619836100658,899271
N-t70n11xx_150,150,LocalSearch best rest,0,845525.3346651056,0.11166937351226806,Success,5.976581623881392,899271
N-t70n11xx_150,150,LocalSearch best rest,1,848805.5882821443,0.115366530418396,Success,5.611813537616104,899271
N-t70n11xx_150,150,LocalSearch random,0,793628.1233021537,0.12423515319824219,Success,11.747612977383497,899271
N-t70n11xx_150,150,LocalSearch random,1,819104.3203365096,0.1261138916015625,Success,8.914629701557192,899271
N-t70n11xx_150,150,LocalSearch first,0,770823.4142220129,0.12412452697753906,Success,14.283523629471778,899271
N-t70n11xx_150,150,LocalSearch first,1,753610.8834614521,0.1256868839263916,Success,16.197577430891013,899271
