matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t75e11xx_250,250,Becker (non-opt),0,99236913.0,2.022157907485962,Success,3.5523107710413315,102891955
N-t75e11xx_250,250,Becker (non-opt),1,99236913.0,1.9061822891235352,Success,3.5523107710413315,102891955
N-t75e11xx_250,250,Becker (opt),0,90349897.0,0.001997709274291992,Success,12.189541932602992,102891955
N-t75e11xx_250,250,Becker (opt),1,90349897.0,0.0030007362365722656,Success,12.189541932602992,102891955
N-t75e11xx_250,250,Greedy (basic),0,72134867.0,0.5445516109466553,Success,29.892607250003174,102891955
N-t75e11xx_250,250,Greedy (basic),1,72134867.0,0.5410254001617432,Success,29.892607250003174,102891955
N-t75e11xx_250,250,Greedy (best_insertion),0,102891955.0,1.7932581901550293,Success,0.0,102891955
N-t75e11xx_250,250,Greedy (best_insertion),1,102891955.0,1.790036916732788,Success,0.0,102891955
N-t75e11xx_250,250,Greedy (random),0,72943592.0,0.5489997863769531,Success,29.10661285423141,102891955
N-t75e11xx_250,250,Greedy (random),1,72897543.0,0.5571095943450928,Success,29.15136756804747,102891955
N-t75e11xx_250,250,GreatDeluge,0,96736886.0,0.16355323791503906,Success,5.982070221136337,102891955
N-t75e11xx_250,250,GreatDeluge,1,95629119.0,0.16402459144592285,Success,7.058701528219577,102891955
N-t75e11xx_250,250,LocalSearch best,0,93571780.17554057,0.22605395317077637,Success,9.058215313781757,102891955
N-t75e11xx_250,250,LocalSearch best,1,93047199.64027098,0.2173600196838379,Success,9.5680516127126,102891955
N-t75e11xx_250,250,LocalSearch best rest,0,93371493.34716478,0.2007923126220703,Success,9.252872737071835,102891955
N-t75e11xx_250,250,LocalSearch best rest,1,93855874.66291867,0.1981534481048584,Success,8.78210578959388,102891955
N-t75e11xx_250,250,LocalSearch random,0,83212217.0281607,0.2211017608642578,Success,19.12660515765231,102891955
N-t75e11xx_250,250,LocalSearch random,1,89625725.87668042,0.2203514575958252,Success,12.89335898352751,102891955
N-t75e11xx_250,250,LocalSearch first,0,86587286.64981402,0.22170615196228027,Success,15.846397660716988,102891955
N-t75e11xx_250,250,LocalSearch first,1,87579809.75138004,0.22019600868225098,Success,14.881771124496526,102891955
