matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-t75k11xx_150,150,Becker (non-opt),0,1418297.0,0.42465829849243164,Success,4.030484578397712,1477862
N-t75k11xx_150,150,Becker (non-opt),1,1418297.0,0.4250977039337158,Success,4.030484578397712,1477862
N-t75k11xx_150,150,Becker (opt),0,1279492.0,0.0010004043579101562,Success,13.422768837685792,1477862
N-t75k11xx_150,150,Becker (opt),1,1279492.0,0.0009989738464355469,Success,13.422768837685792,1477862
N-t75k11xx_150,150,Greedy (basic),0,922218.0,0.11700010299682617,Success,37.59782713135597,1477862
N-t75k11xx_150,150,Greedy (basic),1,922218.0,0.11855936050415039,Success,37.59782713135597,1477862
N-t75k11xx_150,150,Greedy (best_insertion),0,1477862.0,0.42517995834350586,Success,0.0,1477862
N-t75k11xx_150,150,Greedy (best_insertion),1,1477862.0,0.4120333194732666,Success,0.0,1477862
N-t75k11xx_150,150,Greedy (random),0,970790.0,0.11956119537353516,Success,34.31118737744119,1477862
N-t75k11xx_150,150,Greedy (random),1,925550.0,0.12199950218200684,Success,37.37236629671782,1477862
N-t75k11xx_150,150,GreatDeluge,0,1421225.0,0.11100268363952637,Success,3.8323605316328586,1477862
N-t75k11xx_150,150,GreatDeluge,1,1411659.0,0.11299991607666016,Success,4.479646949444535,1477862
N-t75k11xx_150,150,LocalSearch best,0,1388381.6334151672,0.13109421730041504,Success,6.054717327113951,1477862
N-t75k11xx_150,150,LocalSearch best,1,1388892.9558285144,0.12547779083251953,Success,6.020118534172039,1477862
N-t75k11xx_150,150,LocalSearch best rest,0,1380895.604315545,0.11213371753692628,Success,6.561261855603233,1477862
N-t75k11xx_150,150,LocalSearch best rest,1,1379438.2867204621,0.11528263092041016,Success,6.659871711941837,1477862
N-t75k11xx_150,150,LocalSearch random,0,1251135.535948654,0.13902783393859863,Success,15.341517953052861,1477862
N-t75k11xx_150,150,LocalSearch random,1,1322836.3305408454,0.12469482421875,Success,10.48986099237646,1477862
N-t75k11xx_150,150,LocalSearch first,0,1240750.113895887,0.12812232971191406,Success,16.044250823426882,1477862
N-t75k11xx_150,150,LocalSearch first,1,1281632.0205691676,0.12462997436523438,Success,13.277963668517929,1477862
