matrix,size,solver,repetition,cost,time,status,deviation,best_cost
N-tiw56n72_250,250,Becker (non-opt),0,10273783.0,1.926079273223877,Success,4.304444227519173,10735904
N-tiw56n72_250,250,Becker (non-opt),1,10273783.0,2.026160955429077,Success,4.304444227519173,10735904
N-tiw56n72_250,250,Becker (opt),0,9569052.0,0.0029993057250976562,Success,10.86868884073479,10735904
N-tiw56n72_250,250,Becker (opt),1,9569052.0,0.003000020980834961,Success,10.86868884073479,10735904
N-tiw56n72_250,250,Greedy (basic),0,6980950.0,0.5350000858306885,Success,34.97566669746674,10735904
N-tiw56n72_250,250,Greedy (basic),1,6980950.0,0.5605359077453613,Success,34.97566669746674,10735904
N-tiw56n72_250,250,Greedy (best_insertion),0,10735904.0,1.8670070171356201,Success,0.0,10735904
N-tiw56n72_250,250,Greedy (best_insertion),1,10735904.0,1.7976338863372803,Success,0.0,10735904
N-tiw56n72_250,250,Greedy (random),0,7144431.0,0.5634803771972656,Success,33.452916494037204,10735904
N-tiw56n72_250,250,Greedy (random),1,7268290.0,0.5525703430175781,Success,32.29922696775232,10735904
N-tiw56n72_250,250,GreatDeluge,0,10234016.0,0.1699995994567871,Success,4.674855512865987,10735904
N-tiw56n72_250,250,GreatDeluge,1,10235748.0,0.16900014877319336,Success,4.658722730754671,10735904
N-tiw56n72_250,250,LocalSearch best,0,9936160.007050766,0.22245121002197266,Success,7.449246872449999,10735904
N-tiw56n72_250,250,LocalSearch best,1,10058813.347712236,0.2182621955871582,Success,6.306787507486695,10735904
N-tiw56n72_250,250,LocalSearch best rest,0,9938251.008330759,0.1967780113220215,Success,7.429770158798377,10735904
N-tiw56n72_250,250,LocalSearch best rest,1,9962788.15059008,0.19552252292633057,Success,7.201217982294916,10735904
N-tiw56n72_250,250,LocalSearch random,0,8915470.861129103,0.21901631355285645,Success,16.95649606098282,10735904
N-tiw56n72_250,250,LocalSearch random,1,9128864.620315017,0.21872591972351074,Success,14.968831499284857,10735904
N-tiw56n72_250,250,LocalSearch first,0,9437648.675581232,0.22182130813598633,Success,12.09265027350066,10735904
N-tiw56n72_250,250,LocalSearch first,1,9382776.060580868,0.22062063217163086,Success,12.603763403800292,10735904
