matrix,size,best_cost,solver_count,best_solver,best_solver_cost,deviation
N-be75eec_150,150,3373087,10,Greedy (best_insertion),3373087.0,0.0
N-be75eec_250,250,8507161,10,Greedy (best_insertion),8507161.0,0.0
N-be75np_150,150,6865841,10,Greedy (best_insertion),6865841.0,0.0
N-be75np_250,250,17033567,10,Greedy (best_insertion),17033567.0,0.0
N-be75oi_150,150,2182298,10,Greedy (best_insertion),2182298.0,0.0
N-be75oi_250,250,5706321,10,Greedy (best_insertion),5706321.0,0.0
N-be75tot_150,150,11777512,10,Greedy (best_insertion),11777512.0,0.0
N-be75tot_250,250,29239530,10,Greedy (best_insertion),29239530.0,0.0
N-stabu1_150,150,2756031,10,Greedy (best_insertion),2756031.0,0.0
N-stabu1_250,250,7415335,10,Greedy (best_insertion),7415335.0,0.0
N-stabu2_150,150,4169513,10,Greedy (best_insertion),4169513.0,0.0
N-stabu2_250,250,11103970,10,Greedy (best_insertion),11103970.0,0.0
N-stabu3_150,150,4353923,10,Greedy (best_insertion),4353923.0,0.0
N-stabu3_250,250,11402109,10,Greedy (best_insertion),11402109.0,0.0
N-t59b11xx_150,150,3100850,10,Greedy (best_insertion),3100850.0,0.0
N-t59b11xx_250,250,8012510,10,Greedy (best_insertion),8012510.0,0.0
N-t59d11xx_150,150,1400021,10,Greedy (best_insertion),1400021.0,0.0
N-t59d11xx_250,250,3666993,10,Greedy (best_insertion),3666993.0,0.0
N-t59f11xx_150,150,1470700,10,Greedy (best_insertion),1470700.0,0.0
N-t59f11xx_250,250,3785939,10,Greedy (best_insertion),3785939.0,0.0
N-t59n11xx_150,150,308267,10,Greedy (best_insertion),308267.0,0.0
N-t59n11xx_250,250,791910,10,Greedy (best_insertion),791910.0,0.0
N-t65b11xx_150,150,6169494,10,Greedy (best_insertion),6169494.0,0.0
N-t65b11xx_250,250,16508616,10,Greedy (best_insertion),16508616.0,0.0
N-t65d11xx_150,150,3414209,10,Greedy (best_insertion),3414209.0,0.0
N-t65d11xx_250,250,8965641,10,Greedy (best_insertion),8965641.0,0.0
N-t65f11xx_150,150,3013447,10,Greedy (best_insertion),3013447.0,0.0
N-t65f11xx_250,250,7990605,10,Greedy (best_insertion),7990605.0,0.0
N-t65l11xx_150,150,242864,10,Greedy (best_insertion),242864.0,0.0
N-t65l11xx_250,250,640664,10,Greedy (best_insertion),640664.0,0.0
N-t65n11xx_150,150,524554,10,Greedy (best_insertion),524554.0,0.0
N-t65n11xx_250,250,1367747,10,Greedy (best_insertion),1367747.0,0.0
N-t69r11xx_150,150,11295019,10,Greedy (best_insertion),11295019.0,0.0
N-t69r11xx_250,250,30416252,10,Greedy (best_insertion),30416252.0,0.0
N-t70b11xx_150,150,9205541,10,Greedy (best_insertion),9205541.0,0.0
N-t70b11xx_250,250,24319340,10,Greedy (best_insertion),24319340.0,0.0
N-t70d11xn_150,150,5539196,10,Greedy (best_insertion),5539196.0,0.0
N-t70d11xn_250,250,14614685,10,Greedy (best_insertion),14614685.0,0.0
N-t70d11xx_150,150,5914723,10,Greedy (best_insertion),5914723.0,0.0
N-t70d11xx_250,250,15206527,10,Greedy (best_insertion),15206527.0,0.0
N-t70f11xx_150,150,4917491,10,Greedy (best_insertion),4917491.0,0.0
N-t70f11xx_250,250,13047617,10,Greedy (best_insertion),13047617.0,0.0
N-t70l11xx_150,150,418557,10,Greedy (best_insertion),418557.0,0.0
N-t70l11xx_250,250,1061688,10,Greedy (best_insertion),1061688.0,0.0
N-t70n11xx_150,150,899271,10,Greedy (best_insertion),899271.0,0.0
N-t70n11xx_250,250,2303625,10,Greedy (best_insertion),2303625.0,0.0
N-t74d11xx_150,150,9082184,10,Greedy (best_insertion),9082184.0,0.0
N-t74d11xx_250,250,23481016,10,Greedy (best_insertion),23481016.0,0.0
N-t75d11xx_150,150,9259270,10,Greedy (best_insertion),9259270.0,0.0
N-t75d11xx_250,250,23921939,10,Greedy (best_insertion),23921939.0,0.0
N-t75e11xx_150,150,39708348,10,Greedy (best_insertion),39708348.0,0.0
N-t75e11xx_250,250,102891955,10,Greedy (best_insertion),102891955.0,0.0
N-t75k11xx_150,150,1477862,10,Greedy (best_insertion),1477862.0,0.0
N-t75k11xx_250,250,3906773,10,Greedy (best_insertion),3906773.0,0.0
N-t75n11xx_150,150,1662941,10,Greedy (best_insertion),1662941.0,0.0
N-t75n11xx_250,250,4296053,10,Greedy (best_insertion),4296053.0,0.0
N-tiw56n54_150,150,805836,10,Greedy (best_insertion),805836.0,0.0
N-tiw56n54_250,250,2002890,10,Greedy (best_insertion),2002890.0,0.0
N-tiw56n58_150,150,1106012,10,Greedy (best_insertion),1106012.0,0.0
N-tiw56n58_250,250,2792646,10,Greedy (best_insertion),2792646.0,0.0
N-tiw56n62_150,150,1548891,10,Greedy (best_insertion),1548891.0,0.0
N-tiw56n62_250,250,3950587,10,Greedy (best_insertion),3950587.0,0.0
N-tiw56n66_150,150,2026768,10,Greedy (best_insertion),2026768.0,0.0
N-tiw56n66_250,250,5142155,10,Greedy (best_insertion),5142155.0,0.0
N-tiw56n67_150,150,2272044,10,Greedy (best_insertion),2272044.0,0.0
N-tiw56n67_250,250,6095895,10,Greedy (best_insertion),6095895.0,0.0
N-tiw56n72_150,150,3953039,10,Greedy (best_insertion),3953039.0,0.0
N-tiw56n72_250,250,10735904,10,Greedy (best_insertion),10735904.0,0.0
N-tiw56r54_150,150,926702,10,Greedy (best_insertion),926702.0,0.0
N-tiw56r54_250,250,2282726,10,Greedy (best_insertion),2282726.0,0.0
N-tiw56r58_150,150,1163853,10,Greedy (best_insertion),1163853.0,0.0
N-tiw56r58_250,250,2926553,10,Greedy (best_insertion),2926553.0,0.0
N-tiw56r66_150,150,1848139,10,Greedy (best_insertion),1848139.0,0.0
N-tiw56r66_250,250,4758641,10,Greedy (best_insertion),4758641.0,0.0
N-tiw56r67_150,150,1974019,10,Greedy (best_insertion),1974019.0,0.0
N-tiw56r67_250,250,5056624,10,Greedy (best_insertion),5056624.0,0.0
N-tiw56r72_150,150,2711527,10,Greedy (best_insertion),2711527.0,0.0
N-tiw56r72_250,250,7148552,10,Greedy (best_insertion),7148552.0,0.0
